sentence,sentence_fragment,model,condition,n_tokens_sentence,n_tokens_word,prob,surprisal,final_word,n_params
Many a freshman helps the college of his choice by becoming a dropout.,Many a freshman helps the college of his choice by becoming a,EleutherAI/pythia-70m,J,14,2,2.17458054976305e-05,15.488903325031751, dropout,70426624
Many a freshman helps the college of his choice by becoming a member.,Many a freshman helps the college of his choice by becoming a,EleutherAI/pythia-70m,S,13,1,0.035531289875507355,4.814766126683417, member,70426624
Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,Many a man's idea of a vacation is to rest quietly in the shade of a,EleutherAI/pythia-70m,J,18,1,4.528343924903311e-05,14.43065694031522, blonde,70426624
Many a man's idea of a vacation is to rest quietly in the shade of a palm.,Many a man's idea of a vacation is to rest quietly in the shade of a,EleutherAI/pythia-70m,S,18,1,0.0026212669909000397,8.575519976844642, palm,70426624
"Many things run in families, especially noses.","Many things run in families, especially",EleutherAI/pythia-70m,J,9,2,5.110924803375383e-07,20.8999122989731, noses,70426624
"Many things run in families, especially strength.","Many things run in families, especially",EleutherAI/pythia-70m,S,8,1,7.908488441898953e-06,16.948166592169038, strength,70426624
Modern science is amazing: garbage is now being made into gasoline.,Modern science is amazing: garbage is now being made into,EleutherAI/pythia-70m,S,12,1,8.216554124373943e-05,13.571106994152556, gasoline,70426624
Modern science is amazing: garbage is now being made into movies.,Modern science is amazing: garbage is now being made into,EleutherAI/pythia-70m,J,12,1,0.0002557273837737739,11.933105724173888, movies,70426624
Most cats see very well at night.,Most cats see very well at,EleutherAI/pythia-70m,E,7,1,0.0038589793257415295,8.017564969917428, night,70426624
Most of the people running for office are not politicians; they're candidates.,Most of the people running for office are not politicians; they're,EleutherAI/pythia-70m,S,14,1,0.002418065443634987,8.69193099378473, candidates,70426624
Most of the people running for office are not politicians; they're commuters.,Most of the people running for office are not politicians; they're,EleutherAI/pythia-70m,J,15,2,8.990836249722634e-06,16.763113260345392, commuters,70426624
Mrs Martin told the bad student to stand in the corner.,Mrs Martin told the bad student to stand in the,EleutherAI/pythia-70m,E,11,1,0.01917996257543564,5.704256284449238, corner,70426624
My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our drinks.,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our,EleutherAI/pythia-70m,J,24,1,0.0012442399747669697,9.650519521848276, drinks,70426624
My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our stove.,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our,EleutherAI/pythia-70m,S,24,1,0.00033899559639394283,11.526445846901353, stove,70426624
My church welcomes all denominations but prefers Mormons.,My church welcomes all denominations but prefers,EleutherAI/pythia-70m,S,11,2,2.8983278753003106e-05,15.074419664458052, Mormons,70426624
My church welcomes all denominations but prefers twenties.,My church welcomes all denominations but prefers,EleutherAI/pythia-70m,J,11,2,6.9654286782849795e-09,27.097140709630004, twenties,70426624
My doctor has never violated his oath: the oath he took years ago to become a millionaire.,My doctor has never violated his oath: the oath he took years ago to become a,EleutherAI/pythia-70m,J,19,2,5.352225707611069e-05,14.189501517578307, millionaire,70426624
My doctor has never violated his oath: the oath he took years ago to become a practitioner.,My doctor has never violated his oath: the oath he took years ago to become a,EleutherAI/pythia-70m,S,18,1,0.00018438826373312622,12.40496554803849, practitioner,70426624
My husband took the money we were saving to buy a new car and blew it all at the laundry.,My husband took the money we were saving to buy a new car and blew it all at the,EleutherAI/pythia-70m,J,20,1,4.178514427621849e-05,14.54665035721314, laundry,70426624
My husband took the money we were saving to buy a new car and blew it all at the tables.,My husband took the money we were saving to buy a new car and blew it all at the,EleutherAI/pythia-70m,S,20,1,2.218650479335338e-05,15.459958067580928, tables,70426624
"My mechanic couldn't fix my brakes, so he fixed my clutch.","My mechanic couldn't fix my brakes, so he fixed my",EleutherAI/pythia-70m,S,13,1,0.003704252652823925,8.07660178202904, clutch,70426624
"My mechanic couldn't fix my brakes, so he fixed my horn.","My mechanic couldn't fix my brakes, so he fixed my",EleutherAI/pythia-70m,J,13,1,0.00022194240591488779,12.137527033969869, horn,70426624
My wife did natural childbirth: no anesthetic.,My wife did natural childbirth: no,EleutherAI/pythia-70m,S,9,1,5.402966417022981e-05,14.175888759738722, anesthetic,70426624
My wife did natural childbirth: no makeup.,My wife did natural childbirth: no,EleutherAI/pythia-70m,J,9,1,3.9751535950927064e-05,14.618629868983845, makeup,70426624
"Nature has three ways of thinning the herd: drought, famine, and hunting.","Nature has three ways of thinning the herd: drought, famine, and",EleutherAI/pythia-70m,S,16,1,0.0006394676165655255,10.610841078461721, hunting,70426624
"Nature has three ways of thinning the herd: drought, famine, and primaries.","Nature has three ways of thinning the herd: drought, famine, and",EleutherAI/pythia-70m,J,17,2,3.314571301871183e-07,21.52467437627461, primaries,70426624
No patient should leave the hospital until he's strong enough to face the cashier.,No patient should leave the hospital until he's strong enough to face the,EleutherAI/pythia-70m,J,16,2,2.7371997930458747e-05,15.15693973103221, cashier,70426624
No patient should leave the hospital until he's strong enough to face the outside.,No patient should leave the hospital until he's strong enough to face the,EleutherAI/pythia-70m,S,15,1,0.0006013346719555557,10.699544235224275, outside,70426624
None of his books made any sense.,None of his books made any,EleutherAI/pythia-70m,E,7,1,0.6725466251373291,0.5722938071099865, sense,70426624
Nothing ages a woman faster than hardships.,Nothing ages a woman faster than,EleutherAI/pythia-70m,S,8,2,1.1809437410192913e-06,19.691628331503367, hardships,70426624
Nothing ages a woman faster than identification.,Nothing ages a woman faster than,EleutherAI/pythia-70m,J,7,1,4.135455128562171e-06,17.883522455021577, identification,70426624
Nothing in the known universe travels faster than gossip.,Nothing in the known universe travels faster than,EleutherAI/pythia-70m,J,9,1,1.4784347513341345e-05,16.04556990091694, gossip,70426624
Nothing in the known universe travels faster than radiation.,Nothing in the known universe travels faster than,EleutherAI/pythia-70m,S,9,1,0.0001689502241788432,12.53111411474474, radiation,70426624
Nothing you put in a banana split is as potentially fattening as the spoon.,Nothing you put in a banana split is as potentially fattening as the,EleutherAI/pythia-70m,J,16,1,0.00016727532783988863,12.545487707800785, spoon,70426624
Nothing you put in a banana split is as potentially fattening as the syrup.,Nothing you put in a banana split is as potentially fattening as the,EleutherAI/pythia-70m,S,16,1,4.9834306992124766e-05,14.292501208309016, syrup,70426624
"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their careers.","Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their",EleutherAI/pythia-70m,S,21,1,0.0030310512520372868,8.36596603780712, careers,70426624
"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their nuptials.","Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their",EleutherAI/pythia-70m,J,23,3,3.462783979557571e-06,18.13963617928882, nuptials,70426624
"Once a week they hold a bingo game, and all the proceeds go to fight disease.","Once a week they hold a bingo game, and all the proceeds go to fight",EleutherAI/pythia-70m,S,18,1,4.5150147343520075e-05,14.434909778615088, disease,70426624
"Once a week they hold a bingo game, and all the proceeds go to fight gambling.","Once a week they hold a bingo game, and all the proceeds go to fight",EleutherAI/pythia-70m,J,18,1,0.0001639271795284003,12.574657302903699, gambling,70426624
One good turn gets most of the blanket.,One good turn gets most of the,EleutherAI/pythia-70m,J,8,1,1.2195464478281792e-05,16.323295768557507, blanket,70426624
One good turn gets most of the profit.,One good turn gets most of the,EleutherAI/pythia-70m,S,8,1,9.138690802501515e-05,13.417652973051034, profit,70426624
One good way to invest in the country is to buy a business.,One good way to invest in the country is to buy a,EleutherAI/pythia-70m,S,13,1,0.0030106129124760628,8.37572705821715, business,70426624
One good way to invest in the country is to buy a senator.,One good way to invest in the country is to buy a,EleutherAI/pythia-70m,J,13,1,1.1600649486354087e-05,16.395434894557116, senator,70426624
One person who sure makes a long story short is my aunt.,One person who sure makes a long story short is my,EleutherAI/pythia-70m,S,12,1,0.005598428659141064,7.48076232959464, aunt,70426624
One person who sure makes a long story short is my editor.,One person who sure makes a long story short is my,EleutherAI/pythia-70m,J,12,1,0.0002806412521749735,11.798985289572515, editor,70426624
One thing that makes the world go round is detours.,One thing that makes the world go round is,EleutherAI/pythia-70m,J,11,2,1.6211240350116896e-08,25.878430280920554, detours,70426624
One thing that makes the world go round is greed.,One thing that makes the world go round is,EleutherAI/pythia-70m,S,10,1,1.0012657185143325e-05,16.607815583268817, greed,70426624
One way to keep pornography away from teenagers is to put it in a cabinet.,One way to keep pornography away from teenagers is to put it in a,EleutherAI/pythia-70m,S,15,1,0.0009705868433229625,10.008855075599579, cabinet,70426624
One way to keep pornography away from teenagers is to put it in a textbook.,One way to keep pornography away from teenagers is to put it in a,EleutherAI/pythia-70m,J,15,1,0.00024896321701817214,11.971779771976712, textbook,70426624
Our new green car blocked the narrow driveway.,Our new green car blocked the narrow,EleutherAI/pythia-70m,E,8,1,0.0007931753061711788,10.300072616530016, driveway,70426624
Our son brought home a note from school saying they need a written excuse for his presence.,Our son brought home a note from school saying they need a written excuse for his,EleutherAI/pythia-70m,J,17,1,0.015738757327198982,5.989534554181033, presence,70426624
Our son brought home a note from school saying they need a written excuse for his tardiness.,Our son brought home a note from school saying they need a written excuse for his,EleutherAI/pythia-70m,S,18,2,0.0011921788100153208,9.712183648714705, tardiness,70426624
"Parents support clubs for teenagers, especially when they lack other forms of diversion.","Parents support clubs for teenagers, especially when they lack other forms of",EleutherAI/pythia-70m,S,15,1,7.026319053693442e-06,17.118799480846658, diversion,70426624
"Parents support clubs for teenagers, especially when they lack other forms of punishment.","Parents support clubs for teenagers, especially when they lack other forms of",EleutherAI/pythia-70m,J,15,1,0.00017510069301351905,12.479527585868277, punishment,70426624
Paul heard a loud grinding noise when someone put a tin can right down the garbage disposal.,Paul heard a loud grinding noise when someone put a tin can right down the garbage,EleutherAI/pythia-70m,E,17,1,0.007878558710217476,6.9878525549557775, disposal,70426624
Politicians who are as American as apple pie still want their rewards.,Politicians who are as American as apple pie still want their,EleutherAI/pythia-70m,S,13,1,0.00013930028944741935,12.809514123879325, rewards,70426624
Politicians who are as American as apple pie still want their slice.,Politicians who are as American as apple pie still want their,EleutherAI/pythia-70m,J,13,1,0.00015291674935724586,12.67496594216921, slice,70426624
Save the whales; start a coalition.,Save the whales; start a,EleutherAI/pythia-70m,S,7,1,7.06980426912196e-05,13.787970200544425, coalition,70426624
Save the whales; start a collection.,Save the whales; start a,EleutherAI/pythia-70m,J,7,1,0.0003428439376875758,11.51016036746787, collection,70426624
She always told girls not to look for a husband but just to date bachelors.,She always told girls not to look for a husband but just to date,EleutherAI/pythia-70m,J,17,3,9.57216525421245e-06,16.6727232654926, bachelors,70426624
She always told girls not to look for a husband but just to date someone.,She always told girls not to look for a husband but just to date,EleutherAI/pythia-70m,S,15,1,0.010608449578285217,6.558642367562011, someone,70426624
"She asked what state he was born in, and he said in the East.","She asked what state he was born in, and he said in the",EleutherAI/pythia-70m,S,15,1,7.246251334436238e-05,13.752405628256932, East,70426624
"She asked what state he was born in, and he said in the nude.","She asked what state he was born in, and he said in the",EleutherAI/pythia-70m,J,15,1,2.6273033654433675e-05,15.21605768144452, nude,70426624
She bought her father a tasteful tie for his birthday.,She bought her father a tasteful tie for his,EleutherAI/pythia-70m,E,11,1,0.00010748658678494394,13.18355574193199, birthday,70426624
She called her husband at his office.,She called her husband at his,EleutherAI/pythia-70m,E,7,1,0.056177251040935516,4.153870159946256, office,70426624
"She is so modest, she pulls down the shade to change her jacket.","She is so modest, she pulls down the shade to change her",EleutherAI/pythia-70m,S,14,1,0.000153551998664625,12.668985088695923, jacket,70426624
"She is so modest, she pulls down the shade to change her mind.","She is so modest, she pulls down the shade to change her",EleutherAI/pythia-70m,J,14,1,0.13408854603767395,2.89874208866957, mind,70426624
She puts something behind her ears to attract men; lately she's been using her ankles.,She puts something behind her ears to attract men; lately she's been using her,EleutherAI/pythia-70m,J,17,1,0.00010808782826643437,13.175508308727908, ankles,70426624
She puts something behind her ears to attract men; lately she's been using her vanilla.,She puts something behind her ears to attract men; lately she's been using her,EleutherAI/pythia-70m,S,17,1,5.856421921635047e-06,17.38154907404867, vanilla,70426624
She read so much about the bad effects of cigarettes she decided to give up the habit.,She read so much about the bad effects of cigarettes she decided to give up the,EleutherAI/pythia-70m,S,17,1,0.014555124565958977,6.1023290033595785, habit,70426624
She read so much about the bad effects of cigarettes she decided to give up the reading.,She read so much about the bad effects of cigarettes she decided to give up the,EleutherAI/pythia-70m,J,17,1,0.0003173919103574008,11.621447022126173, reading,70426624
She tied up her hair with a yellow ribbon.,She tied up her hair with a yellow,EleutherAI/pythia-70m,E,9,1,0.23804964125156403,2.0706656401791204, ribbon,70426624
"She told him he looked like a million, and she meant every century.","She told him he looked like a million, and she meant every",EleutherAI/pythia-70m,J,14,1,1.1059086318709888e-05,16.464408276740937, century,70426624
"She told him he looked like a million, and she meant every syllable.","She told him he looked like a million, and she meant every",EleutherAI/pythia-70m,S,15,2,0.005543580744415522,7.494966132674771, syllable,70426624
She used a needle and a tweezers to pull out the splinter.,She used a needle and a tweezers to pull out the,EleutherAI/pythia-70m,E,15,2,3.0838932616461534e-06,18.306815737131753, splinter,70426624
She was suddenly called back to New York and had to take a cab to the airport.,She was suddenly called back to New York and had to take a cab to the,EleutherAI/pythia-70m,E,17,1,0.05097955837845802,4.29393731402089, airport,70426624
"She went on a fourteen day diet, but she only lost two ounces.","She went on a fourteen day diet, but she only lost two",EleutherAI/pythia-70m,S,14,1,0.010487763211131096,6.5751491713739005, ounces,70426624
"She went on a fourteen day diet, but she only lost two weeks.","She went on a fourteen day diet, but she only lost two",EleutherAI/pythia-70m,J,14,1,0.03203754127025604,4.964092757799647, weeks,70426624
She's happy because she finally has a boyfriend who gets along with her father.,She's happy because she finally has a boyfriend who gets along with her,EleutherAI/pythia-70m,S,15,1,0.007050346117466688,7.148090200243472, father,70426624
She's happy because she finally has a boyfriend who gets along with her fiance.,She's happy because she finally has a boyfriend who gets along with her,EleutherAI/pythia-70m,J,16,2,0.00012729119043797255,12.939579802817947, fiance,70426624
"Some babies are born to rule, while others are male.","Some babies are born to rule, while others are",EleutherAI/pythia-70m,J,11,1,0.00018601831106934696,12.39226773677163, male,70426624
"Some babies are born to rule, while others are weak.","Some babies are born to rule, while others are",EleutherAI/pythia-70m,S,11,1,0.0001898725313367322,12.362681172169856, weak,70426624
"Some husbands are good providers, but only if you count children.","Some husbands are good providers, but only if you count",EleutherAI/pythia-70m,J,12,1,0.00032087916042655706,11.60568228306009, children,70426624
"Some husbands are good providers, but only if you count salary.","Some husbands are good providers, but only if you count",EleutherAI/pythia-70m,S,12,1,1.8058621208183467e-05,15.756952728464768, salary,70426624
Some people think courtship is the first in a series of steps leading to divorce.,Some people think courtship is the first in a series of steps leading to,EleutherAI/pythia-70m,J,16,1,0.0013716156827285886,9.509907979748478, divorce,70426624
Some people think courtship is the first in a series of steps leading to romance.,Some people think courtship is the first in a series of steps leading to,EleutherAI/pythia-70m,S,16,1,6.398537152563222e-06,17.25382645858204, romance,70426624
Some people's only culture is bacteria.,Some people's only culture is,EleutherAI/pythia-70m,J,7,1,8.04803585197078e-06,16.92293183732372, bacteria,70426624
Some people's only culture is radio.,Some people's only culture is,EleutherAI/pythia-70m,S,7,1,6.669612957921345e-06,17.193965526038582, radio,70426624
"Statistics indicate that Americans spend eighty million a year on games of chance, mostly blackjack.","Statistics indicate that Americans spend eighty million a year on games of chance, mostly",EleutherAI/pythia-70m,S,17,2,6.793565034968196e-07,20.489327813080497, blackjack,70426624
"Statistics indicate that Americans spend eighty million a year on games of chance, mostly weddings.","Statistics indicate that Americans spend eighty million a year on games of chance, mostly",EleutherAI/pythia-70m,J,16,1,4.810162863577716e-06,17.66548282740824, weddings,70426624
Sunday is the day we bow our heads and putt.,Sunday is the day we bow our heads and,EleutherAI/pythia-70m,J,11,2,2.594708803371759e-07,21.877924026015414, putt,70426624
Sunday is the day we bow our heads and rest.,Sunday is the day we bow our heads and,EleutherAI/pythia-70m,S,10,1,0.0004328327486291528,11.173902720270407, rest,70426624
The accident injured his spinal cord and his legs are paralyzed.,The accident injured his spinal cord and his legs are,EleutherAI/pythia-70m,E,12,2,0.0006880010478198528,10.505301617407898, paralyzed,70426624
The art museum just acquired an early Rembrandt; it's done in charcoal.,The art museum just acquired an early Rembrandt; it's done in,EleutherAI/pythia-70m,S,16,1,6.696770924463635e-06,17.188102950504014, charcoal,70426624
The art museum just acquired an early Rembrandt; it's done in Crayola.,The art museum just acquired an early Rembrandt; it's done in,EleutherAI/pythia-70m,J,18,3,1.3974055690368914e-08,26.092673964177255, Crayola,70426624
The baby cried and upset her mother.,The baby cried and upset her,EleutherAI/pythia-70m,E,7,1,0.02293235808610916,5.446471477934105, mother,70426624
The bartender dropped two olives into the strong martini.,The bartender dropped two olives into the strong,EleutherAI/pythia-70m,E,12,2,1.094104845833499e-05,16.479889479161624, martini,70426624
The best bargain I ever got was when I went to a family garage sale and bought a grandma.,The best bargain I ever got was when I went to a family garage sale and bought a,EleutherAI/pythia-70m,J,20,2,2.5457472929701908e-06,18.583479354041433, grandma,70426624
The best bargain I ever got was when I went to a family garage sale and bought a toaster.,The best bargain I ever got was when I went to a family garage sale and bought a,EleutherAI/pythia-70m,S,20,2,3.655238970168284e-06,18.06160284035394, toaster,70426624
The best gift for the man who has everything is neckties.,The best gift for the man who has everything is,EleutherAI/pythia-70m,S,12,2,3.748547250381762e-09,27.991021266576563, neckties,70426624
The best gift for the man who has everything is penicillin.,The best gift for the man who has everything is,EleutherAI/pythia-70m,J,11,1,3.933992900329031e-07,21.27750231022228, penicillin,70426624
The best way to keep the milk from turning sour is to keep it in the cold.,The best way to keep the milk from turning sour is to keep it in the,EleutherAI/pythia-70m,S,17,1,0.005387237761169672,7.5362385459579, cold,70426624
The best way to keep the milk from turning sour is to keep it in the cow.,The best way to keep the milk from turning sour is to keep it in the,EleutherAI/pythia-70m,J,17,1,0.0005698245950043201,10.777194486345065, cow,70426624
The best way to remove coffee stains from a white blouse is with detergent.,The best way to remove coffee stains from a white blouse is with,EleutherAI/pythia-70m,S,15,1,0.0001613757194718346,12.597288851941792, detergent,70426624
The best way to remove coffee stains from a white blouse is with scissors.,The best way to remove coffee stains from a white blouse is with,EleutherAI/pythia-70m,J,16,2,0.0002092828945023939,12.22225798016345, scissors,70426624
The best way to stop an elephant from charging is to cut off its credit.,The best way to stop an elephant from charging is to cut off its,EleutherAI/pythia-70m,J,15,1,2.22203216253547e-05,15.457760775444005, credit,70426624
The best way to stop an elephant from charging is to cut off its toes.,The best way to stop an elephant from charging is to cut off its,EleutherAI/pythia-70m,S,15,1,0.0017029530135914683,9.197745654691863, toes,70426624
The bill was due at the end of the month.,The bill was due at the end of the,EleutherAI/pythia-70m,E,10,1,0.11048193275928497,3.1781176316030395, month,70426624
The book that tells you where you can go on vacation is called a checkbook.,The book that tells you where you can go on vacation is called a,EleutherAI/pythia-70m,J,16,2,3.299392119515687e-05,14.887440227827309, checkbook,70426624
The book that tells you where you can go on vacation is called a guidebook.,The book that tells you where you can go on vacation is called a,EleutherAI/pythia-70m,S,16,2,0.00042640644824132323,11.195483124436791, guidebook,70426624
The children held their hands and formed a circle.,The children held their hands and formed a,EleutherAI/pythia-70m,E,9,1,0.07929027080535889,3.6567123367329186, circle,70426624
The choir sang hymns while the people listened.,The choir sang hymns while the people,EleutherAI/pythia-70m,E,9,1,0.012960097752511501,6.269779589875356, listened,70426624
"The convict told his cellmate how he'd blown all the money he stole on wine, women, and crack.","The convict told his cellmate how he'd blown all the money he stole on wine, women, and",EleutherAI/pythia-70m,S,22,1,0.00028363216551952064,11.783691227775611, crack,70426624
"The convict told his cellmate how he'd blown all the money he stole on wine, women, and lawyers.","The convict told his cellmate how he'd blown all the money he stole on wine, women, and",EleutherAI/pythia-70m,J,22,1,0.0003945059434045106,11.307665344315472, lawyers,70426624
"The cops claimed that the prisoner just decided to come clean, but most people think he was forced into the admission.","The cops claimed that the prisoner just decided to come clean, but most people think he was forced into the",EleutherAI/pythia-70m,S,22,1,9.476991181145422e-06,16.68713947402363, admission,70426624
"The cops claimed that the prisoner just decided to come clean, but most people think he was forced into the bathtub.","The cops claimed that the prisoner just decided to come clean, but most people think he was forced into the",EleutherAI/pythia-70m,J,24,3,7.381641626125202e-05,13.725698777054095, bathtub,70426624
The curse of heavy drinking is that afterwards you get a huge bartab.,The curse of heavy drinking is that afterwards you get a huge,EleutherAI/pythia-70m,J,14,2,1.155959883369917e-09,29.68826152281509, bartab,70426624
The curse of heavy drinking is that afterwards you get a huge headache.,The curse of heavy drinking is that afterwards you get a huge,EleutherAI/pythia-70m,S,13,1,0.02297738939523697,5.443641296076776, headache,70426624
The difference between a dog and a fox is about five beers.,The difference between a dog and a fox is about five,EleutherAI/pythia-70m,J,12,1,8.517497917637229e-05,13.519210784826058, beers,70426624
The difference between a dog and a fox is about five degrees.,The difference between a dog and a fox is about five,EleutherAI/pythia-70m,S,12,1,0.01097472570836544,6.509671306882065, degrees,70426624
The difference between a good speaker and a bad one is often a nice diction.,The difference between a good speaker and a bad one is often a nice,EleutherAI/pythia-70m,S,16,2,5.169030714569089e-07,20.883602889355483, diction,70426624
The difference between a good speaker and a bad one is often a nice nap.,The difference between a good speaker and a bad one is often a nice,EleutherAI/pythia-70m,J,15,1,3.5398711588641163e-06,18.10787171801321, nap,70426624
The doctor said he could have a stroke because his arteries were getting narrow and clogged.,The doctor said he could have a stroke because his arteries were getting narrow and,EleutherAI/pythia-70m,E,17,2,0.0035574324429035187,8.134947925018835, clogged,70426624
The doctor told her not to scratch no matter how much it itched.,The doctor told her not to scratch no matter how much it,EleutherAI/pythia-70m,E,14,2,6.532967944394841e-08,23.86768619827857, itched,70426624
The farmer put a new engine in his old tractor.,The farmer put a new engine in his old,EleutherAI/pythia-70m,E,10,1,0.003637043060734868,8.103018277993964, tractor,70426624
The first thing he does every morning is sit in the lotus position and meditate.,The first thing he does every morning is sit in the lotus position and,EleutherAI/pythia-70m,E,17,2,0.00020887990831397474,12.225038650044402, meditate,70426624
The first two hundred story building opened in Chicago; it was a hotel.,The first two hundred story building opened in Chicago; it was a,EleutherAI/pythia-70m,S,14,1,0.004742286633700132,7.720201419707977, hotel,70426624
The first two hundred story building opened in Chicago; it was a library.,The first two hundred story building opened in Chicago; it was a,EleutherAI/pythia-70m,J,14,1,0.00029770011315122247,11.713852609627258, library,70426624
The garment bag kept his suit from getting wrinkled.,The garment bag kept his suit from getting,EleutherAI/pythia-70m,E,10,2,9.284401312470436e-05,13.394831590811082, wrinkled,70426624
The husband who catches his wife in the act is probably on the snoop.,The husband who catches his wife in the act is probably on the,EleutherAI/pythia-70m,S,15,2,1.7201641355768515e-07,22.47095043283942, snoop,70426624
The husband who catches his wife in the act is probably on the trapeze.,The husband who catches his wife in the act is probably on the,EleutherAI/pythia-70m,J,16,3,5.14042267241166e-06,17.569681579103158, trapeze,70426624
The last time a guy in a mask took all my money I was in shock.,The last time a guy in a mask took all my money I was in,EleutherAI/pythia-70m,S,16,1,0.0012036124244332314,9.698413380409196, shock,70426624
The last time a guy in a mask took all my money I was in surgery.,The last time a guy in a mask took all my money I was in,EleutherAI/pythia-70m,J,16,1,0.0002401211968390271,12.02394961561149, surgery,70426624
The lawyer feared that his client was guilty.,The lawyer feared that his client was,EleutherAI/pythia-70m,E,8,1,0.006688891910016537,7.224017052619368, guilty,70426624
The luggage handler seemed to take great delight in tossing the boxes marked fragile.,The luggage handler seemed to take great delight in tossing the boxes marked,EleutherAI/pythia-70m,E,14,1,3.392898975107528e-07,21.490978190331585, fragile,70426624
The mole lived in a hole in the ground.,The mole lived in a hole in the,EleutherAI/pythia-70m,E,9,1,0.05416278541088104,4.206554255973813, ground,70426624
The most popular instrument in a Scottish marching band is the bagpipe.,The most popular instrument in a Scottish marching band is the,EleutherAI/pythia-70m,E,13,2,9.86722966445086e-07,19.950851575514868, bagpipe,70426624
The most prevalent form of legalized gambling is betting.,The most prevalent form of legalized gambling is,EleutherAI/pythia-70m,S,10,1,0.00031794633832760155,11.6189290856165, betting,70426624
The most prevalent form of legalized gambling is elections.,The most prevalent form of legalized gambling is,EleutherAI/pythia-70m,J,10,1,1.5213903679978102e-05,16.004250098023988, elections,70426624
The movers put the sofa on the bare floor.,The movers put the sofa on the bare,EleutherAI/pythia-70m,E,10,1,0.07853417843580246,3.6705355315855455, floor,70426624
"The new tax forms are more realistic-- where your wife signs, it says: accomplice.","The new tax forms are more realistic-- where your wife signs, it says:",EleutherAI/pythia-70m,J,18,2,3.950834381871715e-10,31.237123578756563, accomplice,70426624
"The new tax forms are more realistic-- where your wife signs, it says: partner.","The new tax forms are more realistic-- where your wife signs, it says:",EleutherAI/pythia-70m,S,17,1,2.8495439892139984e-06,18.420837505182647, partner,70426624
The newspaper photo was so murky he couldn't figure out who it was until he read the caption.,The newspaper photo was so murky he couldn't figure out who it was until he read the,EleutherAI/pythia-70m,E,20,1,0.004919018596410751,7.667413775464059, caption,70426624
The nurse gave him detailed instructions about how to clean the wound and put on a fresh bandage.,The nurse gave him detailed instructions about how to clean the wound and put on a fresh,EleutherAI/pythia-70m,E,19,2,0.00027362615219317377,11.835506255187072, bandage,70426624
The old wealthy family lived in a twelve bedroom mansion.,The old wealthy family lived in a twelve bedroom,EleutherAI/pythia-70m,E,10,1,0.03697766363620758,4.757202116112637, mansion,70426624
The only crop that is grown in America and harvested abroad is the American tobacco.,The only crop that is grown in America and harvested abroad is the American,EleutherAI/pythia-70m,S,15,1,0.00034728957689367235,11.491573267388222, tobacco,70426624
The only crop that is grown in America and harvested abroad is the American tourist.,The only crop that is grown in America and harvested abroad is the American,EleutherAI/pythia-70m,J,15,1,0.00034320165286771953,11.508655878639962, tourist,70426624
The only fishing through the ice that some men ever do is for the olive.,The only fishing through the ice that some men ever do is for the,EleutherAI/pythia-70m,J,15,1,5.3084273531567305e-05,14.201355955374886, olive,70426624
The only fishing through the ice that some men ever do is for the trout.,The only fishing through the ice that some men ever do is for the,EleutherAI/pythia-70m,S,15,1,0.0021709927823394537,8.847429355070332, trout,70426624
The only ones who want me for my body are losers.,The only ones who want me for my body are,EleutherAI/pythia-70m,S,12,2,2.111743924615439e-05,15.531205573966783, losers,70426624
The only ones who want me for my body are mosquitoes.,The only ones who want me for my body are,EleutherAI/pythia-70m,J,11,1,1.2490613698901143e-05,16.2887961120938, mosquitoes,70426624
The only person who sticks closer to you in adversity than a friend is a creditor.,The only person who sticks closer to you in adversity than a friend is a,EleutherAI/pythia-70m,J,17,1,5.121214780956507e-05,14.25315440823753, creditor,70426624
The only person who sticks closer to you in adversity than a friend is a spouse.,The only person who sticks closer to you in adversity than a friend is a,EleutherAI/pythia-70m,S,17,1,0.0008912867633625865,10.131822699182797, spouse,70426624
The only place where you can find people who spend all their time minding their own business is the bank.,The only place where you can find people who spend all their time minding their own business is the,EleutherAI/pythia-70m,S,21,1,0.0016396180726587772,9.252424487410682, bank,70426624
The only place where you can find people who spend all their time minding their own business is the cemetery.,The only place where you can find people who spend all their time minding their own business is the,EleutherAI/pythia-70m,J,21,1,0.0006315120845101774,10.628902038100211, cemetery,70426624
The only thing money can't buy is generosity.,The only thing money can't buy is,EleutherAI/pythia-70m,S,9,1,2.942200126199168e-06,18.374673188382154, generosity,70426624
The only thing money can't buy is poverty.,The only thing money can't buy is,EleutherAI/pythia-70m,J,9,1,6.763782585039735e-05,13.85181018791868, poverty,70426624
The only time my father ever raised a hand to his children was in discipline.,The only time my father ever raised a hand to his children was in,EleutherAI/pythia-70m,S,15,1,1.1381882359273732e-05,16.422901301167062, discipline,70426624
The only time my father ever raised a hand to his children was in self-defense.,The only time my father ever raised a hand to his children was in,EleutherAI/pythia-70m,J,17,3,1.4490554349322338e-05,16.07452768687666, self-defense,70426624
