model,sentence,answer,condition,correct,yes_lp,no_lp,lp_ratio,is_joke
mistralai/Mixtral-8x7B-v0.1,Mrs Martin told the bad student to stand in the corner.,Mrs Martin was unhappy with the student's behavior.,E,yes,-1.5400391,-1.4931641,-0.046875,False
mistralai/Mixtral-8x7B-v0.1,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our drinks.,My brother-in-law fixed our plumbing.,J,no,-1.1123047,-2.1914062,1.0791015,True
mistralai/Mixtral-8x7B-v0.1,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our stove.,He's a real handyman.,S,yes,-1.4316406,-1.6191406,0.1875,False
mistralai/Mixtral-8x7B-v0.1,My church welcomes all denominations but prefers Mormons.,My church is strictly Catholic.,S,no,-1.1269531,-2.0019531,0.8750000000000002,False
mistralai/Mixtral-8x7B-v0.1,My church welcomes all denominations but prefers twenties.,My church wants money.,J,yes,-0.93115234,-2.5410156,1.60986326,True
mistralai/Mixtral-8x7B-v0.1,My doctor has never violated his oath: the oath he took years ago to become a millionaire.,My doctor charges a lot of money.,J,yes,-1.1289062,-2.4414062,1.3124999999999998,True
mistralai/Mixtral-8x7B-v0.1,My doctor has never violated his oath: the oath he took years ago to become a practitioner.,My doctor is very honorable.,S,yes,-1.7382812,-1.5820312,-0.15625,False
mistralai/Mixtral-8x7B-v0.1,My husband took the money we were saving to buy a new car and blew it all at the laundry.,We had saved a lot of money.,J,no,-1.2802734,-2.0136719,0.7333984999999998,True
mistralai/Mixtral-8x7B-v0.1,My husband took the money we were saving to buy a new car and blew it all at the tables.,He gambled away our savings.,S,yes,-1.4355469,-1.8105469,0.375,False
mistralai/Mixtral-8x7B-v0.1,"My mechanic couldn't fix my brakes, so he fixed my clutch.",My clutch was also broken.,S,yes,-1.1367188,-2.0585938,0.9218750000000002,False
mistralai/Mixtral-8x7B-v0.1,"My mechanic couldn't fix my brakes, so he fixed my horn.","He figures if I can't stop, I'll have to honk at people.",J,yes,-1.0820312,-2.5820312,1.4999999999999998,True
mistralai/Mixtral-8x7B-v0.1,My wife did natural childbirth: no anesthetic.,She took drugs for the pain.,S,no,-1.2529297,-1.9404297,0.6875,False
mistralai/Mixtral-8x7B-v0.1,My wife did natural childbirth: no makeup.,My wife didn't wear makeup when she had her baby.,J,yes,-1.1806641,-2.1347656,0.9541015000000002,True
mistralai/Mixtral-8x7B-v0.1,"Nature has three ways of thinning the herd: drought, famine, and hunting.",Predatory hunting reduces the number of prey.,S,yes,-1.5341797,-1.6123047,0.078125,False
mistralai/Mixtral-8x7B-v0.1,"Nature has three ways of thinning the herd: drought, famine, and primaries.",Politics is a lot like nature.,J,yes,-1.3486328,-1.9423828,0.59375,True
mistralai/Mixtral-8x7B-v0.1,No patient should leave the hospital until he's strong enough to face the cashier.,Hospital bills are quite expensive.,J,yes,-1.0869141,-2.1347656,1.0478515000000002,True
mistralai/Mixtral-8x7B-v0.1,No patient should leave the hospital until he's strong enough to face the outside.,Patients should be released as soon as possible.,S,no,-1.5146484,-1.4521484,-0.0625,False
mistralai/Mixtral-8x7B-v0.1,None of his books made any sense.,His books were hard to understand.,E,yes,-1.5332031,-1.7519531,0.21875,False
mistralai/Mixtral-8x7B-v0.1,Nothing ages a woman faster than hardships.,A difficult life can make you look old.,S,yes,-1.5361328,-1.8017578,0.265625,False
mistralai/Mixtral-8x7B-v0.1,Nothing ages a woman faster than identification.,Many women lie about their age.,J,yes,-1.4648438,-1.9960938,0.53125,True
mistralai/Mixtral-8x7B-v0.1,Nothing in the known universe travels faster than gossip.,Rumors get around quickly.,J,yes,-1.3662109,-2.1933594,0.8271484999999998,True
mistralai/Mixtral-8x7B-v0.1,Nothing in the known universe travels faster than radiation.,Radiation travels at great speed.,S,yes,-1.5048828,-1.7705078,0.265625,False
mistralai/Mixtral-8x7B-v0.1,Nothing you put in a banana split is as potentially fattening as the spoon.,Eating banana splits can make you fat.,J,yes,-1.328125,-2.15625,0.828125,True
mistralai/Mixtral-8x7B-v0.1,Nothing you put in a banana split is as potentially fattening as the syrup.,Syrup has very few calories.,S,no,-1.4140625,-2.0078125,0.59375,False
mistralai/Mixtral-8x7B-v0.1,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their careers.",The divorce hadn't affected their work.,S,no,-1.4082031,-1.7519531,0.34375,False
mistralai/Mixtral-8x7B-v0.1,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their nuptials.",They are already married.,J,no,-1.2841797,-1.7841797,0.5,True
mistralai/Mixtral-8x7B-v0.1,"Once a week they hold a bingo game, and all the proceeds go to fight disease.",They are raising money to build a new church.,S,no,-1.6171875,-1.6640625,0.046875,False
mistralai/Mixtral-8x7B-v0.1,"Once a week they hold a bingo game, and all the proceeds go to fight gambling.",They are raising money to help orphans.,J,no,-1.1386719,-2.2949219,1.1562499999999998,True
mistralai/Mixtral-8x7B-v0.1,One good turn gets most of the blanket.,"If you do nice things, people will give you blankets.",J,no,-1.078125,-2.1875,1.109375,True
mistralai/Mixtral-8x7B-v0.1,One good turn gets most of the profit.,Doing something good can earn you money.,S,yes,-1.4267578,-2.1464844,0.7197265999999998,False
mistralai/Mixtral-8x7B-v0.1,One good way to invest in the country is to buy a business.,Buying a business is bad for the economy.,S,no,-1.7558594,-1.4746094,-0.28125,False
mistralai/Mixtral-8x7B-v0.1,One good way to invest in the country is to buy a senator.,Politicians will do favors for money.,J,yes,-1.2753906,-1.9628906,0.6875,True
mistralai/Mixtral-8x7B-v0.1,One person who sure makes a long story short is my aunt.,My aunt talks a lot.,S,no,-1.2304688,-1.8398438,0.609375,False
mistralai/Mixtral-8x7B-v0.1,One person who sure makes a long story short is my editor.,My editor cuts out parts of my stories.,J,yes,-1.3613281,-2.1582031,0.7968750000000002,True
mistralai/Mixtral-8x7B-v0.1,One thing that makes the world go round is detours.,Detours make people go around.,J,yes,-1.6025391,-1.8212891,0.21875,True
mistralai/Mixtral-8x7B-v0.1,One thing that makes the world go round is greed.,Most people don't care about money.,S,no,-1.8134766,-1.7353516,-0.078125,False
mistralai/Mixtral-8x7B-v0.1,One way to keep pornography away from teenagers is to put it in a cabinet.,Adult magazines should be put where adolescents won't get into them.,S,yes,-1.203125,-1.859375,0.65625,False
mistralai/Mixtral-8x7B-v0.1,One way to keep pornography away from teenagers is to put it in a textbook.,Teenagers read their textbooks often.,J,no,-1.3222656,-1.9941406,0.671875,True
mistralai/Mixtral-8x7B-v0.1,Our new green car blocked the narrow driveway.,The car was parked in the garage.,E,no,-1.8525391,-1.4462891,-0.40625,False
mistralai/Mixtral-8x7B-v0.1,Our son brought home a note from school saying they need a written excuse for his presence.,The son does very well in school.,J,no,-1.2978516,-1.8447266,0.546875,True
mistralai/Mixtral-8x7B-v0.1,Our son brought home a note from school saying they need a written excuse for his tardiness.,He had been late for school.,S,yes,-1.2978516,-1.8134766,0.515625,False
mistralai/Mixtral-8x7B-v0.1,"Parents support clubs for teenagers, especially when they lack other forms of diversion.",Parents want their teenagers to have appropriate forms of entertainment.,S,yes,-1.9560547,-1.3466797,-0.609375,False
mistralai/Mixtral-8x7B-v0.1,"Parents support clubs for teenagers, especially when they lack other forms of punishment.",Teenagers may need physical punishment.,J,yes,-1.4199219,-1.7480469,0.328125,True
mistralai/Mixtral-8x7B-v0.1,Paul heard a loud grinding noise when someone put a tin can right down the garbage disposal.,Paul broke the garbage disposal.,E,no,-1.4414062,-1.3945312,-0.046875,False
mistralai/Mixtral-8x7B-v0.1,Politicians who are as American as apple pie still want their rewards.,Patriotic politicians don't care about personal glory.,S,no,-1.4462891,-1.7744141,0.328125,False
mistralai/Mixtral-8x7B-v0.1,Politicians who are as American as apple pie still want their slice.,Politicians are happy to do something for nothing.,J,no,-1.4404297,-1.7998047,0.359375,True
mistralai/Mixtral-8x7B-v0.1,Save the whales; start a coalition.,"To save an endangered species, it's best to act alone.",S,no,-1.4013672,-1.8857422,0.484375,False
mistralai/Mixtral-8x7B-v0.1,Save the whales; start a collection.,It's important to protect endangered species in the wild.,J,no,-1.1787109,-2.3203125,1.1416016,True
mistralai/Mixtral-8x7B-v0.1,She always told girls not to look for a husband but just to date bachelors.,It's better to date a married man.,J,no,-1.4882812,-1.8789062,0.390625,True
mistralai/Mixtral-8x7B-v0.1,She always told girls not to look for a husband but just to date someone.,She thinks you should wait for the perfect man.,S,no,-1.5673828,-1.7705078,0.203125,False
mistralai/Mixtral-8x7B-v0.1,"She asked what state he was born in, and he said in the East.",He was a native Californian.,S,no,-1.3164062,-1.7539062,0.4375,False
mistralai/Mixtral-8x7B-v0.1,"She asked what state he was born in, and he said in the nude.",He said he was born in the North.,J,no,-1.0849609,-1.8662109,0.78125,True
mistralai/Mixtral-8x7B-v0.1,She bought her father a tasteful tie for his birthday.,She was giving her father a Christmas gift.,E,no,-1.5664062,-1.6132812,0.046875,False
mistralai/Mixtral-8x7B-v0.1,She called her husband at his office.,Her husband worked at home.,E,no,-1.8154297,-1.3310547,-0.484375,False
mistralai/Mixtral-8x7B-v0.1,"She is so modest, she pulls down the shade to change her jacket.",She doesn't want people to see her change clothes.,S,yes,-1.40625,-1.8125,0.40625,False
mistralai/Mixtral-8x7B-v0.1,"She is so modest, she pulls down the shade to change her mind.",She likes to show off in front of others.,J,no,-1.2509766,-2.0488281,0.7978515000000002,True
mistralai/Mixtral-8x7B-v0.1,She puts something behind her ears to attract men; lately she's been using her ankles.,She's very prudish.,J,no,-1.0048828,-2.5507812,1.5458983999999998,True
mistralai/Mixtral-8x7B-v0.1,She puts something behind her ears to attract men; lately she's been using her vanilla.,She wears vanilla as a perfume.,S,yes,-1.0800781,-2.1582031,1.0781250000000002,False
mistralai/Mixtral-8x7B-v0.1,She read so much about the bad effects of cigarettes she decided to give up the habit.,She was going to quit smoking.,S,yes,-1.3183594,-1.8027344,0.484375,False
mistralai/Mixtral-8x7B-v0.1,She read so much about the bad effects of cigarettes she decided to give up the reading.,She planned to quit smoking.,J,no,-1.0625,-2.265625,1.203125,True
mistralai/Mixtral-8x7B-v0.1,She tied up her hair with a yellow ribbon.,She had very short hair.,E,no,-1.9550781,-1.1582031,-0.796875,False
mistralai/Mixtral-8x7B-v0.1,"She told him he looked like a million, and she meant every century.",She thought he looked quite young and handsome.,J,no,-1.2558594,-2.2558594,0.9999999999999998,True
mistralai/Mixtral-8x7B-v0.1,"She told him he looked like a million, and she meant every syllable.",She thought he looked good.,S,yes,-1.3085938,-1.6523438,0.34375,False
mistralai/Mixtral-8x7B-v0.1,She used a needle and a tweezers to pull out the splinter.,She needed a scalpel to remove the splinter.,E,no,-1.7412109,-1.3505859,-0.390625,False
mistralai/Mixtral-8x7B-v0.1,She was suddenly called back to New York and had to take a cab to the airport.,She was going to take a train.,E,no,-1.7949219,-1.3886719,-0.40625,False
mistralai/Mixtral-8x7B-v0.1,"She went on a fourteen day diet, but she only lost two ounces.",She didn't lose much weight.,S,yes,-1.2587891,-2.2597656,1.0009765000000002,False
mistralai/Mixtral-8x7B-v0.1,"She went on a fourteen day diet, but she only lost two weeks.",She didn't lose any weight.,J,yes,-1.0693359,-2.3652344,1.2958984999999998,True
mistralai/Mixtral-8x7B-v0.1,She's happy because she finally has a boyfriend who gets along with her father.,Her father really liked her previous boyfriends.,S,no,-1.4726562,-1.6757812,0.203125,False
mistralai/Mixtral-8x7B-v0.1,She's happy because she finally has a boyfriend who gets along with her fiance.,She is dating more than one man.,J,yes,-1.3867188,-1.6992188,0.3125,True
mistralai/Mixtral-8x7B-v0.1,"Some babies are born to rule, while others are male.",Males are born rulers.,J,no,-1.1035156,-2.2597656,1.1562500000000002,True
mistralai/Mixtral-8x7B-v0.1,"Some babies are born to rule, while others are weak.",Power starts at an early age.,S,yes,-1.4707031,-1.7207031,0.25,False
mistralai/Mixtral-8x7B-v0.1,"Some husbands are good providers, but only if you count children.",Some men don't take care of their families.,J,yes,-1.0429688,-2.5429688,1.5000000000000002,True
mistralai/Mixtral-8x7B-v0.1,"Some husbands are good providers, but only if you count salary.",Some men give their families nothing but money.,S,yes,-1.2871094,-2.5214844,1.2343749999999998,False
mistralai/Mixtral-8x7B-v0.1,Some people think courtship is the first in a series of steps leading to divorce.,One of those steps is marriage.,J,yes,-1.5625,-1.65625,0.09375,True
mistralai/Mixtral-8x7B-v0.1,Some people think courtship is the first in a series of steps leading to romance.,Some people still believe in romantic courtship.,S,yes,-1.7412109,-1.4130859,-0.328125,False
mistralai/Mixtral-8x7B-v0.1,Some people's only culture is bacteria.,Everybody can appreciate the fine arts.,J,no,-1.1181641,-2.2578125,1.1396484,True
mistralai/Mixtral-8x7B-v0.1,Some people's only culture is radio.,Everyone watches television.,S,no,-1.2158203,-2.2304688,1.0146485,False
mistralai/Mixtral-8x7B-v0.1,"Statistics indicate that Americans spend eighty million a year on games of chance, mostly blackjack.",Americans like to gamble on card games.,S,yes,-1.6005859,-1.6162109,0.015625,False
mistralai/Mixtral-8x7B-v0.1,"Statistics indicate that Americans spend eighty million a year on games of chance, mostly weddings.",Getting married is a risky thing to do.,J,yes,-1.1914062,-2.2070312,1.0156249999999998,True
mistralai/Mixtral-8x7B-v0.1,Sunday is the day we bow our heads and putt.,We go to church on Sunday.,J,no,-1.1865234,-2.171875,0.9853516,True
mistralai/Mixtral-8x7B-v0.1,Sunday is the day we bow our heads and rest.,We work hard on Sunday.,S,no,-1.6708984,-1.6708984,0.0,False
mistralai/Mixtral-8x7B-v0.1,The accident injured his spinal cord and his legs are paralyzed.,He can move his legs.,E,no,-2.0664062,-1.1455078,-0.9208983999999998,False
mistralai/Mixtral-8x7B-v0.1,The art museum just acquired an early Rembrandt; it's done in charcoal.,This early work is an oil painting.,S,no,-1.0878906,-2.0722656,0.9843750000000002,False
mistralai/Mixtral-8x7B-v0.1,The art museum just acquired an early Rembrandt; it's done in Crayola.,Rembrandt was a child when he completed the work.,J,yes,-1.0585938,-2.3867188,1.3281250000000002,True
mistralai/Mixtral-8x7B-v0.1,The baby cried and upset her mother.,The mother was very calm.,E,no,-1.9628906,-1.2910156,-0.671875,False
mistralai/Mixtral-8x7B-v0.1,The bartender dropped two olives into the strong martini.,The bartender was preparing a drink.,E,yes,-1.6289062,-1.4882812,-0.140625,False
mistralai/Mixtral-8x7B-v0.1,The best bargain I ever got was when I went to a family garage sale and bought a grandma.,I bought a car at the garage sale.,J,no,-1.0732422,-2.0898438,1.0166016000000002,True
mistralai/Mixtral-8x7B-v0.1,The best bargain I ever got was when I went to a family garage sale and bought a toaster.,I got a really good deal on a blender.,S,no,-1.3447266,-1.8134766,0.46875,False
mistralai/Mixtral-8x7B-v0.1,The best gift for the man who has everything is neckties.,A necktie always makes a good gift for a man.,S,yes,-1.3183594,-2.0371094,0.7187499999999998,False
mistralai/Mixtral-8x7B-v0.1,The best gift for the man who has everything is penicillin.,This man has lots of diseases.,J,yes,-1.1171875,-1.9921875,0.875,True
mistralai/Mixtral-8x7B-v0.1,The best way to keep the milk from turning sour is to keep it in the cold.,Milk turns sour faster when it's warm.,S,yes,-1.5224609,-1.4287109,-0.09375,False
mistralai/Mixtral-8x7B-v0.1,The best way to keep the milk from turning sour is to keep it in the cow.,Milk stays fresh for a long time.,J,no,-1.0507812,-2.0507812,0.9999999999999998,True
mistralai/Mixtral-8x7B-v0.1,The best way to remove coffee stains from a white blouse is with detergent.,Coffee stains are impossible to wash out.,S,no,-1.7714844,-1.2089844,-0.5625,False
mistralai/Mixtral-8x7B-v0.1,The best way to remove coffee stains from a white blouse is with scissors.,Coffee stains are easy to wash out.,J,no,-1.2041016,-1.5791016,0.375,True
mistralai/Mixtral-8x7B-v0.1,The best way to stop an elephant from charging is to cut off its credit.,Elephants should pay in cash.,J,yes,-1.2080078,-1.9892578,0.78125,True
mistralai/Mixtral-8x7B-v0.1,The best way to stop an elephant from charging is to cut off its toes.,Elephants can run quickly even without toes.,S,no,-1.1445312,-1.9257812,0.78125,False
mistralai/Mixtral-8x7B-v0.1,The bill was due at the end of the month.,He had to pay by the thirty-first.,E,yes,-2.3320312,-1.2226562,-1.1093749999999998,False
mistralai/Mixtral-8x7B-v0.1,The book that tells you where you can go on vacation is called a checkbook.,Where you go on vacation depends on how much you can afford.,J,yes,-1.1787109,-1.8505859,0.671875,True
mistralai/Mixtral-8x7B-v0.1,The book that tells you where you can go on vacation is called a guidebook.,Guidebooks aren't very useful for planning a trip.,S,no,-1.8935547,-1.3623047,-0.53125,False
mistralai/Mixtral-8x7B-v0.1,The children held their hands and formed a circle.,The children were watching television.,E,no,-2.1308594,-1.2080078,-0.9228515999999998,False
mistralai/Mixtral-8x7B-v0.1,The choir sang hymns while the people listened.,The people joined in the singing.,E,no,-1.8398438,-1.3242188,-0.515625,False
mistralai/Mixtral-8x7B-v0.1,"The convict told his cellmate how he'd blown all the money he stole on wine, women, and crack.",The convict had been a drug user.,S,yes,-1.171875,-1.703125,0.53125,False
mistralai/Mixtral-8x7B-v0.1,"The convict told his cellmate how he'd blown all the money he stole on wine, women, and lawyers.",Lawyers are expensive.,J,yes,-1.1513672,-1.8232422,0.671875,True
mistralai/Mixtral-8x7B-v0.1,"The cops claimed that the prisoner just decided to come clean, but most people think he was forced into the admission.",The prisoner may have been forced into confessing.,S,yes,-1.9296875,-1.3671875,-0.5625,False
mistralai/Mixtral-8x7B-v0.1,"The cops claimed that the prisoner just decided to come clean, but most people think he was forced into the bathtub.",The prisoner had been dirty and needed to be washed.,J,yes,-1.1953125,-1.8203125,0.625,True
mistralai/Mixtral-8x7B-v0.1,The curse of heavy drinking is that afterwards you get a huge bartab.,Drinking a lot can be expensive.,J,yes,-1.0927734,-2.8125,1.7197266,True
mistralai/Mixtral-8x7B-v0.1,The curse of heavy drinking is that afterwards you get a huge headache.,Drinking alcohol can lead to a hangover.,S,yes,-1.4238281,-1.8769531,0.453125,False
mistralai/Mixtral-8x7B-v0.1,The difference between a dog and a fox is about five beers.,Drinking makes women appear more attractive.,J,yes,-1.2314453,-2.3554688,1.1240235,True
mistralai/Mixtral-8x7B-v0.1,The difference between a dog and a fox is about five degrees.,Dogs and foxes have the same body temperature.,S,no,-1.3232422,-1.8388672,0.515625,False
mistralai/Mixtral-8x7B-v0.1,The difference between a good speaker and a bad one is often a nice diction.,It's important to speak clearly.,S,yes,-1.6083984,-1.7958984,0.1875,False
mistralai/Mixtral-8x7B-v0.1,The difference between a good speaker and a bad one is often a nice nap.,Bad speakers can put you to sleep.,J,yes,-1.4375,-2.25,0.8125,True
mistralai/Mixtral-8x7B-v0.1,The doctor said he could have a stroke because his arteries were getting narrow and clogged.,He was in excellent health.,E,no,-1.6328125,-1.4921875,-0.140625,False
mistralai/Mixtral-8x7B-v0.1,The doctor told her not to scratch no matter how much it itched.,She had a heart condition.,E,no,-1.2490234,-1.8896484,0.640625,False
mistralai/Mixtral-8x7B-v0.1,The farmer put a new engine in his old tractor.,The farmer wanted to keep the tractor.,E,yes,-1.5136719,-1.5449219,0.03125,False
mistralai/Mixtral-8x7B-v0.1,The first thing he does every morning is sit in the lotus position and meditate.,He starts every day with coffee and the morning news.,E,no,-1.6992188,-1.5429688,-0.15625,False
mistralai/Mixtral-8x7B-v0.1,The first two hundred story building opened in Chicago; it was a hotel.,Chicago has a skyscraper that's a hotel.,S,yes,-1.6376953,-1.3408203,-0.296875,False
mistralai/Mixtral-8x7B-v0.1,The first two hundred story building opened in Chicago; it was a library.,This building had lots of books.,J,yes,-1.3496094,-1.5527344,0.203125,True
mistralai/Mixtral-8x7B-v0.1,The garment bag kept his suit from getting wrinkled.,His suit needed to be ironed.,E,no,-1.7197266,-1.3603516,-0.359375,False
mistralai/Mixtral-8x7B-v0.1,The husband who catches his wife in the act is probably on the snoop.,An unfaithful wife can get in trouble if her husband is on the lookout.,S,yes,-1.2177734,-2.0292969,0.8115234999999998,False
mistralai/Mixtral-8x7B-v0.1,The husband who catches his wife in the act is probably on the trapeze.,His wife is cheating on him.,J,no,-1.1044922,-2.1972656,1.0927734000000002,True
mistralai/Mixtral-8x7B-v0.1,The last time a guy in a mask took all my money I was in shock.,I had been mugged.,S,yes,-1.2324219,-1.9824219,0.75,False
mistralai/Mixtral-8x7B-v0.1,The last time a guy in a mask took all my money I was in surgery.,I had been mugged.,J,no,-1.0507812,-2.3632812,1.3124999999999998,True
mistralai/Mixtral-8x7B-v0.1,The lawyer feared that his client was guilty.,The lawyer was a prosecutor.,E,no,-1.7558594,-1.5214844,-0.234375,False
mistralai/Mixtral-8x7B-v0.1,The luggage handler seemed to take great delight in tossing the boxes marked fragile.,The luggage handler was very careful.,E,no,-1.2138672,-1.8701172,0.65625,False
mistralai/Mixtral-8x7B-v0.1,The mole lived in a hole in the ground.,The mole was kept in the house as a pet.,E,no,-1.5585938,-1.3710938,-0.1875,False
mistralai/Mixtral-8x7B-v0.1,The most popular instrument in a Scottish marching band is the bagpipe.,"In Scottish marching bands, people like bagpipes more than drums.",E,yes,-1.1308594,-1.7402344,0.609375,False
mistralai/Mixtral-8x7B-v0.1,The most prevalent form of legalized gambling is betting.,Betting is not very common.,S,no,-1.6875,-1.5,-0.1875,False
mistralai/Mixtral-8x7B-v0.1,The most prevalent form of legalized gambling is elections.,People are gambling when they vote for someone.,J,yes,-1.3798828,-1.9423828,0.5625,True
mistralai/Mixtral-8x7B-v0.1,The movers put the sofa on the bare floor.,The house was fully carpeted.,E,no,-1.484375,-1.59375,0.109375,False
mistralai/Mixtral-8x7B-v0.1,"The new tax forms are more realistic-- where your wife signs, it says: accomplice.",Your wife doesn't need to sign your tax form.,J,no,-1.2041016,-2.375,1.1708984,True
mistralai/Mixtral-8x7B-v0.1,"The new tax forms are more realistic-- where your wife signs, it says: partner.",Tax forms are very old-fashioned.,S,no,-1.3066406,-2.2441406,0.9375000000000002,False
mistralai/Mixtral-8x7B-v0.1,The newspaper photo was so murky he couldn't figure out who it was until he read the caption.,He could see the person in the photo clearly.,E,no,-1.3710938,-1.6992188,0.328125,False
mistralai/Mixtral-8x7B-v0.1,The nurse gave him detailed instructions about how to clean the wound and put on a fresh bandage.,He had been injured.,E,yes,-2.3554688,-1.0439453,-1.3115235,False
mistralai/Mixtral-8x7B-v0.1,The old wealthy family lived in a twelve bedroom mansion.,They lived in a small home.,E,no,-1.6591797,-1.5185547,-0.140625,False
mistralai/Mixtral-8x7B-v0.1,The only crop that is grown in America and harvested abroad is the American tobacco.,Very few foreigners smoke American cigarettes.,S,no,-1.4169922,-1.9013672,0.484375,False
mistralai/Mixtral-8x7B-v0.1,The only crop that is grown in America and harvested abroad is the American tourist.,Tourists spend a lot of money in other countries.,J,yes,-1.3164062,-2.1914062,0.8749999999999998,True
mistralai/Mixtral-8x7B-v0.1,The only fishing through the ice that some men ever do is for the olive.,Some men fish; others just drink martinis.,J,yes,-1.2529297,-1.9560547,0.703125,True
mistralai/Mixtral-8x7B-v0.1,The only fishing through the ice that some men ever do is for the trout.,Some ice fishermen only want to catch trout.,S,yes,-1.3876953,-1.8095703,0.421875,False
mistralai/Mixtral-8x7B-v0.1,The only ones who want me for my body are losers.,Everybody finds me very attractive.,S,no,-1.5224609,-2.1015625,0.5791016,False
mistralai/Mixtral-8x7B-v0.1,The only ones who want me for my body are mosquitoes.,People find me very sexy.,J,no,-1.2226562,-2.3320312,1.1093749999999998,True
mistralai/Mixtral-8x7B-v0.1,The only person who sticks closer to you in adversity than a friend is a creditor.,People you owe money to don't hang around much.,J,no,-1.3095703,-2.1367188,0.8271485000000001,True
mistralai/Mixtral-8x7B-v0.1,The only person who sticks closer to you in adversity than a friend is a spouse.,You just can't depend on a husband or wife.,S,no,-1.7890625,-1.6171875,-0.171875,False
mistralai/Mixtral-8x7B-v0.1,The only place where you can find people who spend all their time minding their own business is the bank.,People at banks are very nosy.,S,no,-1.4628906,-1.9628906,0.5,False
mistralai/Mixtral-8x7B-v0.1,The only place where you can find people who spend all their time minding their own business is the cemetery.,Everybody is nosy to some extent.,J,yes,-1.2226562,-2.1289062,0.9062499999999998,True
mistralai/Mixtral-8x7B-v0.1,The only thing money can't buy is generosity.,Just because you have money doesn't mean you'll share it.,S,yes,-1.4287109,-2.1484375,0.7197266,False
mistralai/Mixtral-8x7B-v0.1,The only thing money can't buy is poverty.,Money can buy almost anything.,J,yes,-1.2958984,-2.265625,0.9697266,True
mistralai/Mixtral-8x7B-v0.1,The only time my father ever raised a hand to his children was in discipline.,My father didn't believe in corporal punishment.,S,no,-1.5859375,-1.4453125,-0.140625,False
mistralai/Mixtral-8x7B-v0.1,The only time my father ever raised a hand to his children was in self-defense.,My father beat his children a lot.,J,no,-1.4697266,-1.5322266,0.0625,True
mistralai/Mixtral-8x7B-v0.1,The paint turned out to be the wrong color.,They were putting up wallpaper.,E,no,-1.71875,-1.53125,-0.1875,False
mistralai/Mixtral-8x7B-v0.1,The painter used water-based paint for the interior of the house but enamel for the exterior.,He used the same paint both inside and outside the house.,E,no,-1.6015625,-1.3671875,-0.234375,False
mistralai/Mixtral-8x7B-v0.1,The penalty for dishonesty is the disgrace of dying rich.,Liars never win.,J,no,-1.3964844,-2.2089844,0.8124999999999998,True
mistralai/Mixtral-8x7B-v0.1,The penalty for dishonesty is the disgrace of dying unloved.,People who lie don't have many friends.,S,yes,-1.8066406,-1.5253906,-0.28125,False
mistralai/Mixtral-8x7B-v0.1,The perfect companion to a vegetarian dinner is a salad.,A vegetarian meal doesn't need a salad.,S,no,-1.3798828,-1.7392578,0.359375,False
mistralai/Mixtral-8x7B-v0.1,The perfect companion to a vegetarian dinner is a steak.,I don't believe in eating meat.,J,no,-1.1240234,-2.1230469,0.9990234999999998,True
mistralai/Mixtral-8x7B-v0.1,The policeman saw him throw the bottle out the window and gave him a ticket for littering.,He got a ticket for speeding.,E,no,-1.4814453,-1.4970703,0.015625,False
mistralai/Mixtral-8x7B-v0.1,The Republican candidate won the election by a landslide.,The election was very close.,E,no,-1.4179688,-1.6367188,0.21875,False
mistralai/Mixtral-8x7B-v0.1,The rodeo champion was quite proud of his big silver belt buckle.,The rodeo champion didn't wear a belt.,E,no,-1.5175781,-1.3613281,-0.15625,False
mistralai/Mixtral-8x7B-v0.1,The show had one act that was really offbeat: the clowns.,The clowns were really out of the ordinary.,S,yes,-1.1455078,-1.7392578,0.59375,False
mistralai/Mixtral-8x7B-v0.1,The show had one act that was really offbeat: the singer.,The singer had poor rhythm.,J,yes,-1.1953125,-1.6328125,0.4375,True
mistralai/Mixtral-8x7B-v0.1,The surgeon tried vainly to save his patient.,The patient died.,E,yes,-1.5429688,-1.6523438,0.109375,False
mistralai/Mixtral-8x7B-v0.1,The teacher wrote the problem on the board.,The teacher was going to explain the problem.,E,yes,-1.5693359,-1.4912109,-0.078125,False
mistralai/Mixtral-8x7B-v0.1,The terrorists planted a bomb in the airport and four people were killed in the explosion.,The bomb squad was able to defuse the bomb.,E,no,-1.9824219,-1.2167969,-0.765625,False
mistralai/Mixtral-8x7B-v0.1,The tourist bureau told the visitors there was plenty of hunting in this part of the country but very little finding.,Things are hard to find in this area.,J,yes,-1.2089844,-2.0214844,0.8124999999999998,True
mistralai/Mixtral-8x7B-v0.1,The tourist bureau told the visitors there was plenty of hunting in this part of the country but very little sightseeing.,There aren't many tourist sights in the area.,S,yes,-1.4169922,-1.7607422,0.34375,False
mistralai/Mixtral-8x7B-v0.1,The victim was rushed to the hospital in an ambulance.,The victim wasn't hurt in the accident.,E,no,-1.8935547,-1.3154297,-0.578125,False
mistralai/Mixtral-8x7B-v0.1,The visitor stared at the grandfather clock and seemed almost hypnotized by the swinging of the pendulum.,The visitor could see the clock.,E,yes,-1.7138672,-1.4169922,-0.296875,False
mistralai/Mixtral-8x7B-v0.1,The whole town came to hear their mayor speak.,The people wanted to hear what the mayor would say.,E,yes,-1.6318359,-1.4755859,-0.15625,False
