Condition,Exp Code,Sentence,Answer,Correct,First Five Words,Group Number,Same/Different
S,3117,Some people's only culture is radio.,Everyone watches television.,no,some people's only culture is,138,Same
S,4135,"Statistics indicate that Americans spend eighty million a year on games of chance, mostly blackjack.",Americans like to gamble on card games.,yes,statistics indicate that americans spend,139,Same
J,2135,"Statistics indicate that Americans spend eighty million a year on games of chance, mostly weddings.",Getting married is a risky thing to do.,yes,statistics indicate that americans spend,139,Same
J,1006,Sunday is the day we bow our heads and putt.,We go to church on Sunday.,no,sunday is the day we,140,Same
S,4006,Sunday is the day we bow our heads and rest.,We work hard on Sunday.,no,sunday is the day we,140,Same
E,5050,The accident injured his spinal cord and his legs are paralyzed.,He can move his legs.,no,the accident injured his spinal,141,E
S,3116,The art museum just acquired an early Rembrandt; it's done in charcoal.,This early work is an oil painting.,no,the art museum just acquired,142,Different
J,1116,The art museum just acquired an early Rembrandt; it's done in Crayola.,Rembrandt was a child when he completed the work.,yes,the art museum just acquired,142,Different
E,5053,The baby cried and upset her mother.,The mother was very calm.,no,the baby cried and upset,143,E
E,6071,The bartender dropped two olives into the strong martini.,The bartender was preparing a drink.,yes,the bartender dropped two olives,144,E
J,1152,The best bargain I ever got was when I went to a family garage sale and bought a grandma.,I bought a car at the garage sale.,no,the best bargain i ever,145,Same
S,4152,The best bargain I ever got was when I went to a family garage sale and bought a toaster.,I got a really good deal on a blender.,no,the best bargain i ever,145,Same
S,3072,The best gift for the man who has everything is neckties.,A necktie always makes a good gift for a man.,yes,the best gift for the,146,Same
J,2072,The best gift for the man who has everything is penicillin.,This man has lots of diseases.,yes,the best gift for the,146,Same
S,4043,The best way to keep the milk from turning sour is to keep it in the cold.,Milk turns sour faster when it's warm.,yes,the best way to keep,147,Different
J,2043,The best way to keep the milk from turning sour is to keep it in the cow.,Milk stays fresh for a long time.,no,the best way to keep,147,Different
S,4040,The best way to remove coffee stains from a white blouse is with detergent.,Coffee stains are impossible to wash out.,no,the best way to remove,148,Same
J,2040,The best way to remove coffee stains from a white blouse is with scissors.,Coffee stains are easy to wash out.,no,the best way to remove,148,Same
J,1066,The best way to stop an elephant from charging is to cut off its credit.,Elephants should pay in cash.,yes,the best way to stop,149,Different
S,3066,The best way to stop an elephant from charging is to cut off its toes.,Elephants can run quickly even without toes.,no,the best way to stop,149,Different
E,5017,The bill was due at the end of the month.,He had to pay by the thirty-first.,yes,the bill was due at,150,E
J,2109,The book that tells you where you can go on vacation is called a checkbook.,Where you go on vacation depends on how much you can afford.,yes,the book that tells you,151,Different
S,4109,The book that tells you where you can go on vacation is called a guidebook.,Guidebooks aren't very useful for planning a trip.,no,the book that tells you,151,Different
E,6028,The children held their hands and formed a circle.,The children were watching television.,no,the children held their hands,152,E
E,6080,The choir sang hymns while the people listened.,The people joined in the singing.,no,the choir sang hymns while,153,E
S,3088,"The convict told his cellmate how he'd blown all the money he stole on wine, women, and crack.",The convict had been a drug user.,yes,the convict told his cellmate,154,Same
J,2088,"The convict told his cellmate how he'd blown all the money he stole on wine, women, and lawyers.",Lawyers are expensive.,yes,the convict told his cellmate,154,Same
S,4038,"The cops claimed that the prisoner just decided to come clean, but most people think he was forced into the admission.",The prisoner may have been forced into confessing.,yes,the cops claimed that the,155,Same
J,2038,"The cops claimed that the prisoner just decided to come clean, but most people think he was forced into the bathtub.",The prisoner had been dirty and needed to be washed.,yes,the cops claimed that the,155,Same
J,2023,The curse of heavy drinking is that afterwards you get a huge bartab.,Drinking a lot can be expensive.,yes,the curse of heavy drinking,156,Same
S,4023,The curse of heavy drinking is that afterwards you get a huge headache.,Drinking alcohol can lead to a hangover.,yes,the curse of heavy drinking,156,Same
J,1148,The difference between a dog and a fox is about five beers.,Drinking makes women appear more attractive.,yes,the difference between a dog,157,Different
S,4148,The difference between a dog and a fox is about five degrees.,Dogs and foxes have the same body temperature.,no,the difference between a dog,157,Different
S,3111,The difference between a good speaker and a bad one is often a nice diction.,It's important to speak clearly.,yes,the difference between a good,158,Same
J,1111,The difference between a good speaker and a bad one is often a nice nap.,Bad speakers can put you to sleep.,yes,the difference between a good,158,Same
E,6048,The doctor said he could have a stroke because his arteries were getting narrow and clogged.,He was in excellent health.,no,the doctor said he could,159,E
E,6008,The doctor told her not to scratch no matter how much it itched.,She had a heart condition.,no,the doctor told her not,160,E
E,6067,The farmer put a new engine in his old tractor.,The farmer wanted to keep the tractor.,yes,the farmer put a new,161,E
E,5077,The first thing he does every morning is sit in the lotus position and meditate.,He starts every day with coffee and the morning news.,no,the first thing he does,162,E
S,3074,The first two hundred story building opened in Chicago; it was a hotel.,Chicago has a skyscraper that's a hotel.,yes,the first two hundred story,163,Same
J,2074,The first two hundred story building opened in Chicago; it was a library.,This building had lots of books.,yes,the first two hundred story,163,Same
E,5069,The garment bag kept his suit from getting wrinkled.,His suit needed to be ironed.,no,the garment bag kept his,164,E
S,3157,The husband who catches his wife in the act is probably on the snoop.,An unfaithful wife can get in trouble if her husband is on the lookout.,yes,the husband who catches his,165,Different
J,1157,The husband who catches his wife in the act is probably on the trapeze.,His wife is cheating on him.,no,the husband who catches his,165,Different
S,3136,The last time a guy in a mask took all my money I was in shock.,I had been mugged.,yes,the last time a guy,166,Different
J,2136,The last time a guy in a mask took all my money I was in surgery.,I had been mugged.,no,the last time a guy,166,Different
E,5058,The lawyer feared that his client was guilty.,The lawyer was a prosecutor.,no,the lawyer feared that his,167,E
E,5002,The luggage handler seemed to take great delight in tossing the boxes marked fragile.,The luggage handler was very careful.,no,the luggage handler seemed to,168,E
E,6055,The mole lived in a hole in the ground.,The mole was kept in the house as a pet.,no,the mole lived in a,169,E
E,5049,The most popular instrument in a Scottish marching band is the bagpipe.,"In Scottish marching bands, people like bagpipes more than drums.",yes,the most popular instrument in,170,E
S,3069,The most prevalent form of legalized gambling is betting.,Betting is not very common.,no,the most prevalent form of,171,Different
J,1069,The most prevalent form of legalized gambling is elections.,People are gambling when they vote for someone.,yes,the most prevalent form of,171,Different
E,5029,The movers put the sofa on the bare floor.,The house was fully carpeted.,no,the movers put the sofa,172,E
J,1049,"The new tax forms are more realistic-- where your wife signs, it says: accomplice.",Your wife doesn't need to sign your tax form.,no,the new tax forms are,173,Same
S,3049,"The new tax forms are more realistic-- where your wife signs, it says: partner.",Tax forms are very old-fashioned.,no,the new tax forms are,173,Same
E,5073,The newspaper photo was so murky he couldn't figure out who it was until he read the caption.,He could see the person in the photo clearly.,no,the newspaper photo was so,174,E
E,5037,The nurse gave him detailed instructions about how to clean the wound and put on a fresh bandage.,He had been injured.,yes,the nurse gave him detailed,175,E
E,6075,The old wealthy family lived in a twelve bedroom mansion.,They lived in a small home.,no,the old wealthy family lived,176,E
S,3145,The only crop that is grown in America and harvested abroad is the American tobacco.,Very few foreigners smoke American cigarettes.,no,the only crop that is,177,Different
J,1145,The only crop that is grown in America and harvested abroad is the American tourist.,Tourists spend a lot of money in other countries.,yes,the only crop that is,177,Different
J,2140,The only fishing through the ice that some men ever do is for the olive.,Some men fish; others just drink martinis.,yes,the only fishing through the,178,Same
S,3140,The only fishing through the ice that some men ever do is for the trout.,Some ice fishermen only want to catch trout.,yes,the only fishing through the,178,Same
S,3160,The only ones who want me for my body are losers.,Everybody finds me very attractive.,no,the only ones who want,179,Same
J,2160,The only ones who want me for my body are mosquitoes.,People find me very sexy.,no,the only ones who want,179,Same
J,2149,The only person who sticks closer to you in adversity than a friend is a creditor.,People you owe money to don't hang around much.,no,the only person who sticks,180,Same
S,4149,The only person who sticks closer to you in adversity than a friend is a spouse.,You just can't depend on a husband or wife.,no,the only person who sticks,180,Same
S,4045,The only place where you can find people who spend all their time minding their own business is the bank.,People at banks are very nosy.,no,the only place where you,181,Different
J,2045,The only place where you can find people who spend all their time minding their own business is the cemetery.,Everybody is nosy to some extent.,yes,the only place where you,181,Different
S,4025,The only thing money can't buy is generosity.,Just because you have money doesn't mean you'll share it.,yes,the only thing money can't,182,Same
J,2025,The only thing money can't buy is poverty.,Money can buy almost anything.,yes,the only thing money can't,182,Same
S,3052,The only time my father ever raised a hand to his children was in discipline.,My father didn't believe in corporal punishment.,no,the only time my father,183,Same
J,2052,The only time my father ever raised a hand to his children was in self-defense.,My father beat his children a lot.,no,the only time my father,183,Same
E,6016,The paint turned out to be the wrong color.,They were putting up wallpaper.,no,the paint turned out to,184,E
E,6063,The painter used water-based paint for the interior of the house but enamel for the exterior.,He used the same paint both inside and outside the house.,no,the painter used water-based paint,185,E
J,1131,The penalty for dishonesty is the disgrace of dying rich.,Liars never win.,no,the penalty for dishonesty is,186,Different
S,3131,The penalty for dishonesty is the disgrace of dying unloved.,People who lie don't have many friends.,yes,the penalty for dishonesty is,186,Different
S,3133,The perfect companion to a vegetarian dinner is a salad.,A vegetarian meal doesn't need a salad.,no,the perfect companion to a,187,Same
J,1133,The perfect companion to a vegetarian dinner is a steak.,I don't believe in eating meat.,no,the perfect companion to a,187,Same
E,5026,The policeman saw him throw the bottle out the window and gave him a ticket for littering.,He got a ticket for speeding.,no,the policeman saw him throw,188,E
E,6068,The Republican candidate won the election by a landslide.,The election was very close.,no,the republican candidate won the,189,E
E,6024,The rodeo champion was quite proud of his big silver belt buckle.,The rodeo champion didn't wear a belt.,no,the rodeo champion was quite,190,E
S,3159,The show had one act that was really offbeat: the clowns.,The clowns were really out of the ordinary.,yes,the show had one act,191,Same
J,1159,The show had one act that was really offbeat: the singer.,The singer had poor rhythm.,yes,the show had one act,191,Same
E,5074,The surgeon tried vainly to save his patient.,The patient died.,yes,the surgeon tried vainly to,192,E
E,6023,The teacher wrote the problem on the board.,The teacher was going to explain the problem.,yes,the teacher wrote the problem,193,E
E,5065,The terrorists planted a bomb in the airport and four people were killed in the explosion.,The bomb squad was able to defuse the bomb.,no,the terrorists planted a bomb,194,E
J,2056,The tourist bureau told the visitors there was plenty of hunting in this part of the country but very little finding.,Things are hard to find in this area.,yes,the tourist bureau told the,195,Same
S,4056,The tourist bureau told the visitors there was plenty of hunting in this part of the country but very little sightseeing.,There aren't many tourist sights in the area.,yes,the tourist bureau told the,195,Same
E,5022,The victim was rushed to the hospital in an ambulance.,The victim wasn't hurt in the accident.,no,the victim was rushed to,196,E
E,5054,The visitor stared at the grandfather clock and seemed almost hypnotized by the swinging of the pendulum.,The visitor could see the clock.,yes,the visitor stared at the,197,E
E,5025,The whole town came to hear their mayor speak.,The people wanted to hear what the mayor would say.,yes,the whole town came to,198,E
J,2092,The wind was so strong it blew out three fuses.,The wind affected the electrical system.,yes,the wind was so strong,199,Different
S,4092,The wind was so strong it blew out three streetlights.,The storm didn't cause any damage.,no,the wind was so strong,199,Different
E,6064,The woman in the grocery store was handing out free samples.,The samples cost ten cents each.,no,the woman in the grocery,200,E
J,1060,The woman who has her husband eating out of her hand must save a lot of dishwashing.,The husband washes all the dishes.,no,the woman who has her,201,Different
S,4060,The woman who has her husband eating out of her hand must save a lot of heartbreak.,She's happy because her husband does what she wants.,yes,the woman who has her,201,Different
E,5046,There were over a hundred trees in the apple orchard.,It was an extremely small orchard.,no,there were over a hundred,202,E
E,6052,They planned to dig a tunnel in order to escape.,They were being held prisoner.,yes,they planned to dig a,203,E
J,1143,They redecorated the bar with new drunks.,The bar has all new furniture.,no,they redecorated the bar with,204,Same
S,3143,They redecorated the bar with new wood.,The bar is all chrome and glass.,no,they redecorated the bar with,204,Same
E,5038,They went to Las Vegas and got married in one of those quickie wedding chapels.,They spent months planning a big wedding.,no,they went to las vegas,205,E
S,3039,This fall two things are turning yellow: trees and bushes.,The leaves are changing color.,yes,this fall two things are,206,Same
J,1039,This fall two things are turning yellow: trees and investors.,Investors are becoming scared.,yes,this fall two things are,206,Same
J,1134,"This house comes with a lot of extras, mostly termites.",The house is free of bugs.,no,this house comes with a,207,Different
S,3134,"This house comes with a lot of extras, mostly upgrades.",The house would be a good purchase.,yes,this house comes with a,207,Different
S,3158,"This new computer works so quickly, it comes complete with games.","If you use this computer, you'll have time left to play.",yes,this new computer works so,208,Different
J,2158,"This new computer works so quickly, it comes complete with ulcers.",The computer feels no stress.,no,this new computer works so,208,Different
J,1032,"Though most people think it's Rome, the world's most beloved capital is actually dollars.",People love money.,yes,though most people think it's,209,Different
S,3032,"Though most people think it's Rome, the world's most beloved capital is actually Vienna.",Rome is more beloved than Vienna.,no,though most people think it's,209,Different
E,5042,Three people were killed in a major highway accident.,The accident had not been fatal.,no,three people were killed in,210,E
E,6043,Tim threw a rock and broke the window.,Tim was playing baseball.,no,tim threw a rock and,211,E
S,4026,"To clothe one soldier, it takes the wool from two sheep and the hides from three animals.",Military uniforms are made from natural materials.,yes,"to clothe one soldier, it",212,Same
J,2026,"To clothe one soldier, it takes the wool from two sheep and the hides from three taxpayers.",Military uniforms are expensive.,yes,"to clothe one soldier, it",212,Same
J,1098,"To get something done, a committee should consist of no more than three people, two of whom are dead.",Groups are more efficient than individuals.,no,"to get something done, a",213,Different
S,3098,"To get something done, a committee should consist of no more than three people, two of whom are workers.",A committee works best with one leader.,yes,"to get something done, a",213,Different
E,6004,To keep the dogs out of the yard he put up a fence.,He was worried his pet would escape.,no,to keep the dogs out,214,E
E,5006,To pay for the car Al simply wrote a check.,Al paid with a credit card.,no,to pay for the car,215,E
S,3127,Too many girls believe that the chief foundation for true love is a large fortune.,A lot of women marry for money.,yes,too many girls believe that,216,Same
J,1127,Too many girls believe that the chief foundation for true love is a large stone.,Some girls just want a big diamond ring.,yes,too many girls believe that,216,Same
S,4124,Two things are essential for success: wealth and fame.,Having money without celebrity is still success.,no,two things are essential for,217,Same
J,2124,Two things are essential for success: wealth and money.,You don't need much cash to succeed in business.,no,two things are essential for,217,Same
E,6039,We finally got a decent picture on the TV after an hour of adjusting the antenna.,The TV had poor reception.,yes,we finally got a decent,218,E
J,2106,We live in a lovely suburb; it's just two miles beyond our income.,We can't afford to live where we do.,yes,we live in a lovely,219,Different
S,4106,We live in a lovely suburb; it's just two miles beyond our town.,The suburb is far from the city.,no,we live in a lovely,219,Different
S,3036,"We used to have food on the table as soon as the customer was seated, but our new system requires more effort.",We have to work harder now.,yes,we used to have food,220,Different
J,1036,"We used to have food on the table as soon as the customer was seated, but our new system requires more plates.",Our service is faster now.,no,we used to have food,220,Different
S,3071,"When an irresistible force meets an immovable object, you get two very angry entities.","When one thing runs into another, both become unhappy.",yes,when an irresistible force meets,221,Same
J,1071,"When an irresistible force meets an immovable object, you get two very angry women.",Women can be stubborn.,yes,when an irresistible force meets,221,Same
E,5021,"When he stepped into the elevator, he knew Jennifer had just been there by the smell of her perfume.",Jennifer wore strong perfume.,yes,when he stepped into the,222,E
J,1001,"When I asked how long I should cook the noodles, he said at least ten inches.",The noodles should be at least ten inches long.,yes,when i asked how long,223,Different
S,3001,"When I asked how long I should cook the noodles, he said at least ten seconds.",They had already eaten.,no,when i asked how long,223,Different
S,3096,"When I asked the bartender for something cold and full of rum, he recommended his daiquiri.",The bartender recommended a drink.,yes,when i asked the bartender,224,Same
J,1096,"When I asked the bartender for something cold and full of rum, he recommended his wife.",The bartender was married.,yes,when i asked the bartender,224,Same
J,1101,"When I found out how much my wife spent on dresses last year, I dumped her and proposed to the dressmaker.",The dressmaker had a lot of my money.,yes,when i found out how,225,Different
S,3101,"When I found out how much my wife spent on dresses last year, I dumped her and proposed to the mistress.",I had been faithful to my wife.,no,when i found out how,225,Different
J,2086,"When it comes to keeping warm, nothing beats a thermal brunette.",A down parka is the best way to keep warm.,no,when it comes to keeping,226,Same
S,4086,"When it comes to keeping warm, nothing beats a thermal parka.",A trenchcoat is the best way to keep warm.,no,when it comes to keeping,226,Same
S,3015,"When John bought a bulldog, it was no time at all before he had that dog eating out of his fingers.",He trained the dog well.,yes,"when john bought a bulldog,",227,Same
J,1015,"When John bought a bulldog, it was no time at all before he had that dog eating out of his leg.",The dog was aggressive.,yes,"when john bought a bulldog,",227,Same
S,4077,"When reviewing your notes for a test, the most important ones will be capitalized.",Pay more attention to the things in small print.,no,when reviewing your notes for,228,Same
J,2077,"When reviewing your notes for a test, the most important ones will be illegible.",Important notes are written clearly so they stand out.,no,when reviewing your notes for,228,Same
S,4100,"When the kid came into the store and asked for empty boxes, the owner gave him the crate.",The kid didn't get any boxes.,no,when the kid came into,229,Same
J,1100,"When the kid came into the store and asked for empty boxes, the owner gave him the register.",The store had made a lot of money.,no,when the kid came into,229,Same
E,6015,When they were in London they visited Buckingham Palace.,They made a trip to England.,yes,when they were in london,230,E
J,2151,"When we got divorced, my wife and I split the house; she got the inside.",I got the outside.,yes,"when we got divorced, my",231,Different
S,4151,"When we got divorced, my wife and I split the house; she got the kitchen.",My wife gave me the kitchen items.,no,"when we got divorced, my",231,Different
S,3018,"When we watch a sexy movie, my wife leans over and breathes on my collar.",She wants to get me excited.,yes,when we watch a sexy,232,Different
J,1018,"When we watch a sexy movie, my wife leans over and breathes on my glasses.",She wants me to see the movie.,no,when we watch a sexy,232,Different
E,5030,"When you go to bed, turn off the lights.",The lights are on.,yes,"when you go to bed,",233,E
J,2058,"When you own an ice cream business, your favorite flavor is aspirin.",Running an ice cream business can give you a headache.,yes,when you own an ice,234,Same
S,4058,"When you own an ice cream business, your favorite flavor is everything.",You start to like all the flavors.,yes,when you own an ice,234,Same
S,4024,"Where I'm from, the two most common elements are hydrogen and nitrogen.",Phosphorus is the most common element in my hometown.,no,"where i'm from, the two",235,Same
J,2024,"Where I'm from, the two most common elements are hydrogen and stupidity.",People in my hometown are very smart.,no,"where i'm from, the two",235,Same
J,2061,"Women don't dress to please men; if they did, they'd dress a lot faster.",Women take a long time to get dressed.,yes,women don't dress to please,236,Different
S,4061,"Women don't dress to please men; if they did, they'd dress a lot scantier.",Men prefer women who wear a lot of clothes.,no,women don't dress to please,236,Different
E,5062,Women were not allowed to vote until when Congress passed the nineteenth amendment to the constitution.,Women in 1900 could not vote.,yes,women were not allowed to,237,E
E,6027,Yesterday they canoed down the river.,They spent yesterday outdoors.,yes,yesterday they canoed down the,238,E
J,2144,You can keep your kids out of hot water with dishes.,Kids like to wash dishes.,no,you can keep your kids,239,Different
S,4144,You can keep your kids out of hot water with rules.,Clear boundaries help keep kids out of trouble.,yes,you can keep your kids,239,Different
E,5009,You could tell he had grown up in the South by his accent.,He talked like a Southerner.,yes,you could tell he had,240,E
